title,text
Welcome To Our Icecream Cart,Currently we have an amazing offer for you .
Cherry Amaretto.,"We combine the unmatched flavor of black cherry,
              with the sweetness of almond in the Amaretto.
              This delightful treat is a big hit and we are sure you’ll like it!."
Chocolate Icecream," Enjoy that old fashioned ice cream parlor
              taste with classic gourmet chocolate ice cream.
              The perfect blend of rich cocoa makes it #1 choice for chocolate lovers."
Butter Brickle,"The warm flavor of the butter brickle pieces highlights
              the creaminess of this gourmet ice cream.
              The caramel color promises a taste experience that is well lived up to."
French Vanilla,"Our richest, most indulgent Vanilla inspired by the
              traditional French custard. Perfectly pairs with Parfaits, Pancakes & Waffles.
              we have introduced this flavor of our own experiment"
